DATAFLOW,LAST UPDATE,freq,sex,age,isced11,training,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Bulgaria,Thousand persons,2024,117.7,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Cyprus,Percentage,2024,96.9,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Cyprus,Thousand persons,2024,15.7,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Czechia,Percentage,2024,92.6,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Czechia,Thousand persons,2024,263.3,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Germany,Percentage,2024,90.4,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Germany,Thousand persons,2024,1292.0,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Denmark,Percentage,2024,87.4,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Denmark,Thousand persons,2024,170.4,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Euro area – 20 countries (2023-2025),Percentage,2024,90.8,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Euro area – 20 countries (2023-2025),Thousand persons,2024,6601.4,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Estonia,Percentage,2024,88.7,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Estonia,Thousand persons,2024,31.8,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Greece,Percentage,2024,99.9,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Greece,Thousand persons,2024,213.0,,
